Circuit,Length,Cons,Offset,S1,S2,S3,S4,Laptime
Abu Dhabi,5.281,0,60,24.75,50.15,40.7,,55.7
Andalucia,,,,,,,,
Andalucia Chicane,5.02,1.05,60,,,,,
Anglesey,3.3,0.7,60,,,,,
Bahrain,,0,,,,,,
Barcelona F1,4.65,0.97,60,31.107,41.053,29.949,,42
Barcelona GP,4.73,0.85,60,,,,,44.9
Barcelona Sh,2.98,0,,,,,,
Brands GP,3.981,0.75,60,26.523,15.701,21.176,20.116,
Brands Indy,1.94,0.41,0,26.39,18.1,,,17
Croft,3.43,0.68,60,23.899,31.691,21.781,,
Donington GP,4.02,0.86,60,19.557,34.233,33.952,,
Donington Nat,3.15,0.65,60,19.012,34.024,11.282,,
Dubai,5.39,0,,,,,,
Estoril,4.13,0.82,,19.532,25.897,22.25,30.479,38.335
Jarama,3.85,,,35.67,30.229,25.762,,31.821
Jerez,4.43,0.95,60,39.764,28.661,34.628,,43.198
Knockhill,2.092,0.38,0,15.504,18.443,13.917,,
Macau,6.15,0,,,,,,
Monza,5.75,0,,,,,,
Motorland,5.34,1.16,60,30.405,30.679,19.763,37.033,58.142
Navarra,4.3,0.98,60,26.308,22.976,30.266,26.111,45.831
Oulton Park Int,4.31,0.92,60,1,1,1,,
Oulton Park Island,3.6,0.75,60,23.156,30.637,26.116,,
Paul Ricard 1C-V2,5.842,1.2,120,34.201,38.837,52.485,,5.675
Paul Ricard 3C,3.841,0,,,,,,
Pembrey,2.34,0.48,0,,,,,54.1
Pembrey v3,2.425,0.51,0,,,,,
PembreyGP,2.406,0.49,0,,,,,
Portimao,4.65,1,60,33.2,33.228,37.979,,44.591
Red Bull Ring,4.318,0.86,60,,,,,
Silverstone Int,3.62,0.6,,,,,,
Silverstone Nat,2.64,0.45,,13.82,18.24,21.79,,
Silverstone New GP,5.8,1.16,120,,,,,
Silverstone Old GP,5.8,1.16,120,36.976,62.232,22.15,,47.4
Snetterton,3.14,0.96,60,,,,,
Snetterton 300,4.78,0.96,60,33.485,38.452,35.126,,
Spa,7.01,1.33,120,,,,,
Thruxton,3.79,0.7,60,23.66,18.695,27.829,,
Valencia,3.99,0.9,60,21.687,45.969,25.924,,33.787
Zandvoort,4.3,0.86,60,33.128,33.4,29.1,,
