slug,display_name,source_filename,map_filename,github_raw_map_url
abu_dhabi,Abu Dhabi,Abu_DhabiRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/abu_dhabi/map.jpeg
albacete,Albacete,AlbaceteRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/albacete/map.jpeg
algarve,Algarve,AlgarveRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/algarve/map.jpeg
algarve_chicane,Algarve Chicane,Algarve_ChicaneRunsheet.jpg,map.jpg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/algarve_chicane/map.jpg
andalucia,Andalucia,AndaluciaRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/andalucia/map.jpeg
andalucia_chicane,Andalucia Chicane,Andalucia_ChicaneRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/andalucia_chicane/map.jpeg
anglesey,Anglesey,AngleseyRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/anglesey/map.jpeg
bahrain,Bahrain,BahrainRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/bahrain/map.jpeg
barcelona_f1,Barcelona F1,Barcelona_F1Runsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/barcelona_f1/map.jpeg
barcelona_gp,Barcelona GP,Barcelona_GPRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/barcelona_gp/map.jpeg
bedford_west,Bedford West,Bedford_WestRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/bedford_west/map.jpeg
brands_gp,Brands GP,Brands_GPRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/brands_gp/map.jpeg
brands_indy,Brands Indy,Brands_IndyRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/brands_indy/map.jpeg
cota,COTA,COTARunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/cota/map.jpeg
cremona,Cremona,CremonaRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/cremona/map.jpeg
croft,Croft,CroftRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/croft/map.jpeg
donington_gp,Donington GP,Donington_GPRunsheet.jpg,map.jpg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/donington_gp/map.jpg
donington_nat_old,Donington Nat Old,Donington_NatOLDRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/donington_nat_old/map.jpeg
donington_nat,Donington Nat,Donington_NatRunsheet.png,map.png,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/donington_nat/map.png
estoril,Estoril,EstorilRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/estoril/map.jpeg
hockenheim,Hockenheim,HockenheimRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/hockenheim/map.jpeg
homestead_road,Homestead Road,Homestead_RoadRunsheet.png,map.png,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/homestead_road/map.png
hungaroring,Hungaroring,HungaroringRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/hungaroring/map.jpeg
imola,Imola,ImolaRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/imola/map.jpeg
