name,distance_m,x_px,y_px,notes
0-1,211.850006103516,,,
1,294.350006103516,,,
2,387.299987792969,,,
3,521.549987792969,,,
3-4,633.099975585938,,,
4,695.299987792969,,,
5,761.099975585938,,,
5-6,1177.59997558594,,,
6,1394.59997558594,,,
6-7,1539.34997558594,,,
7,1640.84997558594,,,
8,1724.34997558594,,,
8-9,1910.09997558594,,,
9,2078.10009765625,,,
10,2264.30004882813,,,
11,2415.67504882813,,,
11-12,2618.10009765625,,,
12,2781.60009765625,,,
13,2942.42504882813,,,
14,3083.30004882813,,,
14-0,3311,,,
